video_id,title,channel,views,likes,upload_date,duration
mwN75EiGfCE,"Agent AI System Design Explained in 27 Minutes",Aishwarya Srinivasan,47802,1365,2026-07-15,26:56
_Er8Hao_gmQ,"AI Evals Explained | How to evaluate AI Agents?",Aishwarya Srinivasan,14014,359,2026-07-09,23:07
w-Z4QYK1QL4,"Forward Deployed Engineer: The Hottest AI Job of 2026",Aishwarya Srinivasan,112441,1983,2026-06-27,15:11
vbKKQATMZ-0,"Agentic AI Explained: The Complete 2026 Guide",Aishwarya Srinivasan,86416,2310,2026-06-19,30:03
Sxge12dyImI,"Build any app and launch it with perplexity computer | Under 10 minutes",Aishwarya Srinivasan,11310,270,2026-06-05,15:11
-zBbij9rrEI,"Multi-Agent AI Systems Explained: The Complete Guide",Aishwarya Srinivasan,16684,441,2026-04-30,20:31
gZhExHTgnc4,"How to become an AI Engineer at Google in 2026 ft. Google ML Engineer",Arsh Goyal,9616,437,2026-07-05,26:38
-kQRBkBuwHg,"AI Engineering Podcast Episode #1: Beyond the AI hype",Gaurav Sen,11669,379,2026-05-29,34:58
r37RoPQBXNU,"Mastering RAG-based systems for software engineers",Gaurav Sen,12165,359,2026-07-07,1:27:59
cAhmvlDWj18,"Introduction to Agentic Systems",Gaurav Sen,8089,260,2026-07-13,59:35
d-98DZZrS7M,"AI Interview Questions #1 - LLMs vs. Agents with @aloo_explains",Gaurav Sen,768,71,2026-07-21,7:06
OISZ2slR1jc,"Which Skill Gets You Hired Fastest in 2026? Full Stack vs Web3 vs AI",Harkirat Singh,71146,2536,2026-07-14,15:21
