video_id,title,views,likes,upload_date,duration
icd5KdbtwxM,"WHAT DO THEY ASK in an AI System Design Interview?",8420,306,2026-07-10,1:01:34
VSCt8FCXE5A,"I Asked an Ex-Google Gemini PM Everything: AI, Interviews, Product & Startups",2696,97,2026-06-25,55:23
k1oLXYBvRVY,"What an FDE (Forward Deployment Engineer) Interview Actually Tests - AI's Hottest Job",5659,162,2026-06-20,1:05:03
Yy6XsGfitVc,"He Was Right... And Wrong | Inside Data Science Interview",41384,1221,2026-06-13,41:42
MZgTC-VDP0A,"I Was Given a Broken RAG Chatbot Application in an AI Interview to Debug",7339,300,2026-06-07,41:39
KPicaj649Q4,"From Data Engineer to AI Engineer - Can He Crack the Interview?",5436,197,2026-05-30,49:49
c2PTp0Oi-Es,"He Built a RAG Project as a Student, But Couldn't Explain His Own Code",250299,5548,2026-05-22,41:28
-9d7PqF71-k,"Can You Detect An Outlier? AI Interview Question",1400,40,2026-05-17,18:32
C4gPbRNq7DE,"80% Accuracy... Still Wrong? Dataset Imbalance Python Interview Q1",1586,64,2026-05-15,10:59
KvuBdHL_VYg,"AI Engineer Internship Mock Interview | Every Question Answered + What To Do When It Goes Wrong",8003,277,2026-05-09,43:17
nucDoFbNIak,"Debug an AI Recipe Generator App Step by Step | AI Interview Question",1311,98,2026-05-06,16:45
s8XZ3z1VhNk,"AI Engineering Mock Interview for Freshers | Real Questions & Answers",44786,1380,2026-05-01,51:22
O-kuHMOdjX4,"Inside a Real AI Engineer Interview (Mock Interview + Evaluation)",91247,2166,2026-04-12,1:09:22
F_UM_SqCOfU,"How to Answer Hallucination Related Questions in AI Interviews",5113,259,2026-04-06,31:43
9ztE_pX7Ltc,"Only 5% Engineers Understand Chunking for RAG | AI Interview Series",10816,498,2026-03-31,25:30
mXbULUX3oo4,"Complete Prompt Engineering Course 2026 | From Beginner to Pro (members-only, no stats)",,,2026-03,50:13
C0cjn2j5v1Y,"Your Resume Is Getting Rejected for This Reason",940,54,2026-03-20,11:28
wsXtC5H-mR0,"Career Gap Is Not the Problem. This Is.",1222,88,2026-03-03,9:25
7g71zKEzq_U,"AI Engineer Mock Interview | Real Technical Round Simulation",47492,1195,2026-02-26,51:24
dh-9rWxf4Os,"How Freshers Can Actually Get Hired in 2026 (Step-by-Step)",2333,150,2026-02-12,11:33
E3JOdNjm-l8,"Mac vs Windows vs Cloud for AI (Links in description)",894,20,2026-02-02,10:43
hgYLhCSVFYo,"If You're Lost in Your Career, Watch This.",57388,3103,2026-01-26,6:20
tK2FSO1O_lI,"RAG vs Fine-Tuning Explained for AI Engineer Interviews",894,30,2026-01-21,7:19
OkfJOynFQrM,"The Biggest Misconceptions About AI Careers",665,38,2026-01-15,16:17
7IHyOvvI3fU,"AI Skills You Need in 2026 (10-Minute Roadmap)",2522,124,2026-01-10,10:06
IY5UUyvnDy8,"Python Vs Javascript - Which has better future in 2026",523,25,2026-01-04,1:52
Ei45MCHL1V0,"How to Become an AI Engineer",25049,766,2026-01-03,16:39
jMTkaGOguu0,"Precision vs Recall Explained with ONE Simple Problem",262,9,2025-12-23,8:07
wfW-LgpQHxI,"5 Python Interview Tricky Questions You Must Know",497,19,2025-10-08,11:24
vgqRxBUKDgE,"Python revision in 30 mins",534,19,2025-10-04,26:30
RYTa6hxfMI0,"Python vs. JavaScript - The Ultimate Tech Face-off",196,3,2023-11-03,0:38
4a5QiYyba4g,"Must-Have Tools for Starting YouTube Tutorials & Gaming Videos",103,5,2023-10-28,8:43
VqCbSG9Aaig,"DAY 3: Find the Missing Number in an Array | Fun & Easy Puzzle",77,2,2023-10-28,25:21
7h59FBq7UAw,"Effortless React Setup: From Zero to a Development Environment",170,7,2023-10-26,7:05
jwXsF3SRmNU,"DAY 2: Mastering String Reversal",91,3,2023-10-26,24:55
xglIOhP2Qfo,"DAY 1: Maximum Subarray Problem - Algorithms and Solutions",398,9,2023-10-26,44:46
0p1W9Nxu0yA,"Supercharge Your Code: Effortless Java Setup in Minutes!",240,7,2023-10-18,4:42
